"Company 
(Maker-if known)",SpecificBeanOriginorBarName,REF,"Review
Date",CocoaPercent,CompanyLocation,Rating,"Bean
Type",BroadBeanOrigin,Secondary Origin,,,
Na�ve,Nicaragua,1379,2014,70%,Lithuania,3.25,Criollo,Nicaragua,,,,
Alexandre,"La Dalia, Matagalpa",1944,2017,70%,Netherlands,3.5,"Criollo, Trinitario",Nicaragua,,,,
Nova Monda,"La Dalia, Matagalpa,cacao Bisesto,green label",935,2012,75%,Niacragua,2.75, ,Nicaragua,,,,
Momotombo,Matagalpa,661,2011,70%,Nicaragua,2.75, ,Nicaragua,,,,
Momotombo,Mombacho,661,2011,70%,Nicaragua,2.75, ,Nicaragua,,,,
Momotombo,Oscuro,772,2011,70%,Nicaragua,3.25, ,Nicaragua,,,,
Nova Monda,"La Patriota, cacao Indio, purple label",931,2012,70%,Nicaragua,3, ,Nicaragua,,,,
Manufaktura Czekolady,Johe,1844,2016,70%,Poland,3.75, ,Nicaragua,,,,
Damson,O'Payo,1666,2015,70%,U.K.,2.75, ,Nicaragua,,,,
Doble & Bignall,Johe,1407,2014,72%,U.K.,3.5,"Criollo, Trinitario",Nicaragua,,,,
Duffy's,"Chuno, Xoco",1331,2014,70%,U.K.,3.5,Criollo,Nicaragua,,,,
Duffy's,"Rico Rugoso, Xoco",1331,2014,76%,U.K.,3.75,Criollo,Nicaragua,,,,
Duffy's,"Nicaliso, Xoco",697,2011,71%,U.K.,3.25,Criollo,Nicaragua,,,,
Altus aka Cao Artisan,Momotombo,1728,2016,60%,U.S.A.,2.75, ,Nicaragua,,,,
Arete,Rugoso,1904,2016,70%,U.S.A.,3.75, ,Nicaragua,,,,
Arete,Chuno,1598,2015,70%,U.S.A.,4,"Criollo, Trinitario",Nicaragua,,,,
Bisou,"Nicaragua, American style",1482,2015,76%,U.S.A.,2.5, ,Nicaragua,,,,
Black Mountain,Matiguas,256,2008,70%,U.S.A.,3, ,Nicaragua,,,,
Brasstown aka It's Chocolate,"O'payo, Waslala",1868,2016,70%,U.S.A.,3.75, ,Nicaragua,,,,
Castronovo,Nicaragua,1109,2013,72%,U.S.A.,3.25,Trinitario,Nicaragua,,,,
Chocolate Con Amor,Nicaragua,1768,2016,80%,U.S.A.,2.75, ,Nicaragua,,,,
French Broad,Matagalpa,1295,2014,68%,U.S.A.,3.25, ,Nicaragua,,,,
Goodnow Farms,"El Carmen, batch 1003",1924,2016,77%,U.S.A.,3.25, ,Nicaragua,,,,
Guittard,Nicaragua,1053,2013,65%,U.S.A.,2.75, ,Nicaragua,,,,
L'Amourette,Rugoso,1784,2016,80%,U.S.A.,3.5,Trinitario,Nicaragua,,,,
Love Bar,Nicaragua,1502,2015,75%,U.S.A.,2, ,Nicaragua,,,,
Map Chocolate,"A case of the Xerces Blues, triple roast",1606,2015,70%,U.S.A.,3.5, ,Nicaragua,,,,
Meadowlands,"Nicaragua, w/ inbs",1291,2014,70%,U.S.A.,3, ,Nicaragua,,,,
Middlebury,"Matagalpa, Cacao Bisiesto",1538,2015,70%,U.S.A.,3.5, ,Nicaragua,,,,
Muchomas (Mesocacao),Nicaragua,1462,2015,70%,U.S.A.,3.5, ,Nicaragua,,,,
Muchomas (Mesocacao),Nicaragua,1462,2015,80%,U.S.A.,3.5, ,Nicaragua,,,,
Pitch Dark,Tenor,1506,2015,62%,U.S.A.,2.5, ,Nicaragua,,,,
Pitch Dark,Johe,1506,2015,80%,U.S.A.,2.75, ,Nicaragua,,,,
Pitch Dark,Chuno,1510,2015,80%,U.S.A.,2.75,"Criollo, Trinitario",Nicaragua,,,,
Pitch Dark,Nicalizo,1510,2015,80%,U.S.A.,2.75,Trinitario,Nicaragua,,,,
Pitch Dark,Rugoso,1510,2015,80%,U.S.A.,3.25, ,Nicaragua,,,,
Sjolinds,Nicaragua,1462,2015,72%,U.S.A.,3, ,Nicaragua,,,,
Somerville,Nicaragua,1367,2014,70%,U.S.A.,3.25, ,Nicaragua,,,,
Starchild,Rio Tuma,1692,2015,70%,U.S.A.,3,Trinitario (Amelonado),Nicaragua,,,,
Undone,Matagalpa,1438,2014,74%,U.S.A.,2.75, ,Nicaragua,,,,
Mars,Nigeria,544,2010,65%,U.S.A.,3.25, ,Nigeria,,,,
Zotter,"Bocas del Toro, Cocabo Co-op",801,2012,72%,Austria,3.5, ,Panama,,,,
A. Morin,Panama,1011,2013,70%,France,2.75, ,Panama,,,,
Artisan du Chocolat,Panama,745,2011,72%,U.K.,2.75, ,Panama,,,,
Doble & Bignall,"Panama, Raven",1371,2014,72%,U.K.,3.25, ,Panama,,,,
Duffy's,"Bocas del Toro, Tierra Oscura",697,2011,72%,U.K.,3, ,Panama,,,,
Duffy's,Panama,516,2010,70%,U.K.,3.5, ,Panama,,,,
Bittersweet Origins,Bocas del Toro,233,2008,75%,U.S.A.,3.5, ,Panama,,,,
Bahen & Co.,Papua New Guinea,1474,2015,70%,Australia,3.5, ,Papua New Guinea,,,,
Cravve,New Ireland,1283,2014,70%,Australia,2.5,Forastero,Papua New Guinea,,,,
Cravve,Djual Island,975,2012,75%,Australia,3.5,Forastero,Papua New Guinea,,,,
Matale,"Kulili P., 2013",1177,2013,74%,Australia,4,Trinitario,Papua New Guinea,,,,
Monsieur Truffe,Papaua New Guinea,1391,2014,70%,Australia,3.25, ,Papua New Guinea,,,,
"Smooth Chocolator, The","Papua New Guinea, triple roast, batch 1",1662,2015,65%,Australia,3.5, ,Papua New Guinea,,,,
Zokoko,Tokiala,701,2011,66%,Australia,3.5,Trinitario,Papua New Guinea,,,,
Zotter,Huiwani Coop,879,2012,75%,Austria,3,"Criollo, Trinitario",Papua New Guinea,,,,
Belcolade,Papua New Guinea,586,2010,64%,Belgium,2.75, ,Papua New Guinea,,,,
Neuhaus (Callebaut),Papua New Guinea,531,2010,70%,Belgium,2.5,Criollo,Papua New Guinea,,,,
Ambrosia,Papua New Guinea,1498,2015,63%,Canada,3.25, ,Papua New Guinea,,,,
Habitual,Papua New Guinea,1197,2014,80%,Canada,2.75, ,Papua New Guinea,,,,
Soma,Papua New Guinea,983,2012,85%,Canada,3.5,Trinitario,Papua New Guinea,,,,
Soma,Papua New Guinea,387,2009,70%,Canada,3.5,Trinitario,Papua New Guinea,,,,
Soul,Papua New Guinea,1936,2017,77%,Canada,3.25, ,Papua New Guinea,,,,
A. Morin,Papua New Guinea,1015,2013,70%,France,3.25, ,Papua New Guinea,,,,
Debauve & Gallais (Michel Cluizel),Papua New Guinea,423,2009,64%,France,3, ,Papua New Guinea,,,,
Michel Cluizel,Maralumi P.,24,2006,64%,France,4, ,Papua New Guinea,,,,
Pralus,Papouasie,199,2008,75%,France,3,Trinitario,Papua New Guinea,,,,
Omnom,Papua New Guinea,1247,2014,70%,Iceland,3, ,Papua New Guinea,,,,
Tablette (aka Vanillabeans),Papua,1450,2015,62%,Japan,3.25, ,Papua New Guinea,,,,
Captain Pembleton,"Saidor Estate, Madang P.",1263,2014,70%,New Zealand,3.5,Trinitario,Papua New Guinea,,,,
Captain Pembleton,Kulili Estate,1263,2014,70%,New Zealand,3.75, ,Papua New Guinea,,,,
Ocho,"PNG, Devotion",1411,2014,66%,New Zealand,2.75, ,Papua New Guinea,,,,
Ocho,"PNG, Revolution",1411,2014,70%,New Zealand,3, ,Papua New Guinea,,,,
Ocho,"PNG, Voodoo",1411,2014,88%,New Zealand,3.25, ,Papua New Guinea,,,,
Ocho,"PNG, Nib Bar",1411,2014,74%,New Zealand,3.5, ,Papua New Guinea,,,,
Cacao Sampaka,Papua,523,2010,71%,Spain,4, ,Papua New Guinea,,,,
Original Beans (Felchlin),Papua Kerafat,1438,2014,68%,Switzerland,2.75, ,Papua New Guinea,,,,
Amano,Morobe,725,2011,70%,U.S.A.,4, ,Papua New Guinea,,,,
Dandelion,Papua New Guinea,1153,2013,70%,U.S.A.,3.5, ,Papua New Guinea,,,,
Dean and Deluca (Belcolade),Papua New Guinea,180,2007,64%,U.S.A.,3, ,Papua New Guinea,,,,
Fresco,"Markham Valley, #219, LR, MC",899,2012,69%,U.S.A.,3.5, ,Papua New Guinea,,,,
Fresco,"Markham Valley, #221, DR, MC",899,2012,69%,U.S.A.,3.5, ,Papua New Guinea,,,,
Fresco,"Markham Valley, #220, MR, MC",927,2012,69%,U.S.A.,4,Trinitario,Papua New Guinea,,,,
Fresco,"Markham Valley, #222, LR, 0C",931,2012,69%,U.S.A.,3,Trinitario,Papua New Guinea,,,,
Manoa,Markham Valley,1522,2015,72%,U.S.A.,3.5, ,Papua New Guinea,,,,
Mast Brothers,Papua New Guinea,777,2011,71%,U.S.A.,2.75, ,Papua New Guinea,,,,
Scharffen Berger,Markham Valley,781,2011,68%,U.S.A.,3.75, ,Papua New Guinea,,,,
Shark Mountain,Papua New Guinea,1450,2015,73%,U.S.A.,3.5,Forastero,Papua New Guinea,,,,
Tejas,Aranama,805,2012,70%,U.S.A.,3, ,Papua New Guinea,,,,
Zak's,"Papua New Guinea, Batch 2",1574,2015,70%,U.S.A.,3, ,Papua New Guinea,,,,
Chocolate Makers,"Peru, Awagum bar",1530,2015,80%,Amsterdam,3.75,Criollo,Peru,,,,
"Smooth Chocolator, The","Maranon, batch 2",1666,2015,67%,Australia,3,Forastero (Nacional),Peru,,,,
Zotter,"Satipo Pangoa region, 16hr conche",875,2012,70%,Austria,3,Criollo (Amarru),Peru,,,,
Zotter,"Satipo Pangoa region, 20hr conche",875,2012,70%,Austria,3.5,Criollo (Amarru),Peru,,,,
Zotter,Peru,647,2011,70%,Austria,3.75, ,Peru,,,,
Belcolade,Peru,586,2010,64%,Belgium,2.75, ,Peru,,,,
Frederic Blondeel,Peru Brutus,1538,2015,75%,Belgium,3.5, ,Peru,,,,
Pierre Marcolini,"Peru, Las Pampas P.",531,2010,85%,Belgium,3,Criollo,Peru,,,,
Ambrosia,Peru,1498,2015,68%,Canada,3.5, ,Peru,,,,
Christopher Morel (Felchlin),"Maranon Canyon, Fortunato No. 4",666,2011,68%,Canada,3.75,Forastero (Nacional),Peru,,,,
East Van Roasters,Peru,1343,2014,70%,Canada,3.25, ,Peru,,,,
Soma,Maranon Canyon,1259,2014,70%,Canada,3.75,Forastero (Nacional),Peru,,,,
Soma,"Apurimac, El Quinacho Co-op",1073,2013,70%,Canada,2.75,Criollo,Peru,,,,
Soma,Peruvian,676,2011,64%,Canada,4, ,Peru,,,,
Obolo,Pangoa,1638,2015,70%,Chile,3.75,Criollo,Peru,,,,
Obolo,"Pangoa, w/ nibs",1638,2015,70%,Chile,3.75,Criollo,Peru,,,,
Summerbird,Peru,1800,2016,61%,Denmark,2.5,"Criollo, Trinitario",Peru,,,,
Summerbird,Peru,1800,2016,71%,Denmark,3,"Criollo, Trinitario",Peru,,,,
Pacari,Piura,863,2012,70%,Ecuador,4, ,Peru,,,,
A. Morin,Quilla,1704,2015,70%,France,3.5, ,Peru,,,,
A. Morin,Pablino,1319,2014,70%,France,4, ,Peru,,,,
A. Morin,Piura,1019,2013,70%,France,3.25, ,Peru,,,,
A. Morin,Chanchamayo Province,1019,2013,70%,France,3.5, ,Peru,,,,
A. Morin,Chanchamayo Province,1019,2013,63%,France,4, ,Peru,,,,
A. Morin,Peru,797,2012,63%,France,3.75, ,Peru,,,,
Alain Ducasse,"Piura, Perou",1173,2013,75%,France,2.5, ,Peru,,,,
Bonnat,"Cusco, Cacao Cusco",629,2011,75%,France,3.5, ,Peru,,,,
Bonnat,Piura Blanco,629,2011,75%,France,3.5,Forastero (Nacional),Peru,,,,
Bonnat,"Porcelana, Apotequil",336,2009,75%,France,2.75,Criollo,Peru,,,,
Laia aka Chat-Noir,"Peru, Batch 51/100",1590,2015,75%,France,3.25, ,Peru,,,,
Pralus,Peru,1446,2015,75%,France,3.25, ,Peru,,,,
Raoul Boulanger,Piura,1872,2016,75%,France,3.25,Criollo,Peru,,,,
Valrhona,"Piura, Illanka, Quemazon",1510,2015,63%,France,4, ,Peru,,,,
Coppeneur,"Porcelana, Apotequil",341,2009,72%,Germany,3,Criollo,Peru,,,,
Coppeneur,"Porcelana, Apotequil",445,2009,62%,Germany,3.25,Criollo,Peru,,,,
Heilemann,Peru,1876,2016,64%,Germany,2.75, ,Peru,,,,
Kakao,Peru,837,2012,64%,Germany,2.5, ,Peru,,,,
Szanto Tibor,"Ayacucho, ""El Guinacho""",939,2012,70%,Hungary,3.75, ,Peru,,,,
Wilkie's Organic,Amazonas,1169,2013,75%,Ireland,2.5,Criollo,Peru,,,,
Wilkie's Organic,Amazonas,1169,2013,89%,Ireland,2.75,Criollo,Peru,,,,
Wilkie's Organic,Tumbes,1169,2013,75%,Ireland,3.25,Criollo,Peru,,,,
Wilkie's Organic,Amazonas w/ nibs,1173,2013,75%,Ireland,2.75,Criollo,Peru,,,,
Holy Cacao,Maranon,1872,2016,70%,Israel,2.75, ,Peru,,,,
Holy Cacao,San Martin,431,2009,70%,Israel,3.5, ,Peru,,,,
Amedei,"Piura, Blanco de Criollo",979,2012,70%,Italy,3.75, ,Peru,,,,
Domori,Apurimac,87,2006,70%,Italy,3.25,Trinitario,Peru,,,,
Cacao Store,Peru,1684,2015,70%,Japan,3.25, ,Peru,,,,
Emily's,Peru,1454,2015,78%,Japan,3.5,Criollo,Peru,,,,
La Chocolaterie Nanairo,"Lumas, 2015 Harvest, Batch 6, brown sugar",1892,2016,70%,Japan,2.25,"Trinitario, Criollo",Peru,,,,
La Chocolaterie Nanairo,"Lumas, 2015 Harvest, Batch 7",1892,2016,70%,Japan,2.5,"Trinitario, Criollo",Peru,,,,
La Chocolaterie Nanairo,"Tumbes, 2013 Harvest, Batch 8",1892,2016,70%,Japan,3,Criollo,Peru,,,,
Theobroma,"Piura Select, Cacao Blanc",1684,2015,70%,Japan,3.25, ,Peru,,,,
Naive,"Maranon Canyon, Fortunato No. 4",1133,2013,78%,Lithuania,3.75,Forastero (Nacional),Peru,,,,
Hogarth,Gran Blanco,1712,2016,66%,New Zealand,3.5,Criollo,Peru,,,,
Wellington Chocolate Factory,"Piura Blanco, Norandino",1756,2016,70%,New Zealand,3.5, ,Peru,,,,
Amazona,"LamasdelChanka, San Martin, Oro Verde coop",1145,2013,72%,Peru,3.25, ,Peru,,,,
Amazona,"Bellavista Gran Pajeten, San Martin",1145,2013,73%,Peru,3.5,Trinitario,Peru,,,,
Bakau,"Bambamarca, 2015",1454,2015,70%,Peru,2.75, ,Peru,,,,
Bakau,"Huallabamba, 2015",1454,2015,70%,Peru,3.5, ,Peru,,,,
Cacaosuyo (Theobroma Inversiones),Piura,1173,2013,70%,Peru,3.25, ,Peru,,,,
La Oroquidea,Peruvian Amazon,721,2011,72%,Peru,2.5, ,Peru,,,,
Machu Picchu Trading Co.,Peru,721,2011,70%,Peru,1.5, ,Peru,,,,
Machu Picchu Trading Co.,Peru,552,2010,55%,Peru,2.25, ,Peru,,,,
Marana,Piura,1872,2016,70%,Peru,3, ,Peru,,,,
Marana,Cusco,1884,2016,70%,Peru,2.75, ,Peru,,,,
Marana,San Martin,1884,2016,70%,Peru,3, ,Peru,,,,
Orquidea,Peru,859,2012,65%,Peru,3, ,Peru,,,,
Orquidea,Peru,859,2012,72%,Peru,3, ,Peru,,,,
Pascha,Peru,1137,2013,55%,Peru,2.5, ,Peru,,,,
Pascha,Peru,1137,2013,70%,Peru,2.75, ,Peru,,,,
Shattel,Tingo Maria,1884,2016,70%,Peru,3.25, ,Peru,,,,
Shattell,Porcelana,757,2011,75%,Peru,3.5,Criollo,Peru,,,,
Manufaktura Czekolady,Peru,1848,2016,70%,Poland,3.5, ,Peru,,,,
"Chocolate Tree, The",Maranon,1582,2015,69%,Scotland,3.75,Forastero (Nacional),Peru,,,,
"Chocolate Tree, The",Peru,1121,2013,70%,Scotland,3.75,Forastero (Nacional),Peru,,,,
"Chocolate Tree, The",Peru,919,2012,68%,Scotland,2.75,Criollo,Peru,,,,
iQ Chocolate,"Satipo region, white label",943,2012,72%,Scotland,2.75,Criollo,Peru,,,,
iQ Chocolate,black label,943,2012,72%,Scotland,3, ,Peru,,,,
Ocelot,Piura,1558,2015,75%,Scotland,4,Criollo,Peru,,,,
The Barn,Peru,1614,2015,70%,Sweden,3, ,Peru,,,,
Original Beans (Felchlin),"Piura, Apotequil, ""Porcelana"" 72hr c.",341,2009,75%,Switzerland,3,Criollo,Peru,,,,
Artisan du Chocolat,Peru,363,2009,75%,U.K.,3,Criollo,Peru,,,,
Chocolarder,Peru,1482,2015,65%,U.K.,2.5,Criollo,Peru,,,,
Chocolarder,Peru + nibs,1482,2015,65%,U.K.,2.75,Criollo,Peru,,,,
Duffy's,Star of Peru,523,2010,70%,U.K.,3.75, ,Peru,,,,
Forever Cacao,Rio Eni,1267,2014,72%,U.K.,2.75,Criollo,Peru,,,,
Hotel Chocolat (Coppeneur),"Chanchamayo, Pichanadi, 2012, 60hr c.",1109,2013,100%,U.K.,2.75, ,Peru,,,,
Solkiki,"Maranon, Fortunato No. 4",1840,2016,68%,U.K.,2.75,Forastero (Nacional),Peru,,,,
Willie's Cacao,San Martin,457,2009,70%,U.K.,3, ,Peru,,,,
Acalli,"Chulucanas, El Platanal",1462,2015,70%,U.S.A.,3.75, ,Peru,,,,
Acalli,"Tumbes, Norandino",1470,2015,70%,U.S.A.,3.75,Criollo,Peru,,,,
Altus aka Cao Artisan,Acopagro,1728,2016,60%,U.S.A.,3, ,Peru,,,,
Altus aka Cao Artisan,Villa Andina,1732,2016,60%,U.S.A.,2.5, ,Peru,,,,
Altus aka Cao Artisan,Peru,1133,2013,60%,U.S.A.,3.25, ,Peru,,,,
Arete,Phantom,1924,2016,70%,U.S.A.,4,Forastero (Nacional),Peru,,,,
Arete,Nacional,1534,2015,68%,U.S.A.,3.5,Forastero (Nacional),Peru,,,,
Bar Au Chocolat,Maranon Canyon,1295,2014,70%,U.S.A.,4,Forastero (Nacional),Peru,,,,
Cacao Atlanta,Tumbes,1215,2014,75%,U.S.A.,2.5,Criollo,Peru,,,,
Castronovo,San Martin,1105,2013,70%,U.S.A.,2.5,Criollo,Peru,,,,
Castronovo,Tumbes,1153,2013,70%,U.S.A.,2.75,Criollo,Peru,,,,
Cello,Peru,1247,2014,70%,U.S.A.,2.75, ,Peru,,,,
Chocolate Alchemist-Philly,"Tumbes, ""Zarumilla""",1772,2016,90%,U.S.A.,2.5, ,Peru,,,,
Chocolate Conspiracy,Peru,1259,2014,74%,U.S.A.,2.75, ,Peru,,,,
Dean and Deluca (Belcolade),Peru,180,2007,64%,U.S.A.,3, ,Peru,,,,
Durci,"Maranon, Joya Rara",1626,2015,70%,U.S.A.,3.5,Forastero (Nacional),Peru,,,,
Eclat (Felchlin),"Maranon, Good & Evil, w/ nibs",919,2012,72%,U.S.A.,2.75,Forastero (Nacional),Peru,,,,
French Broad,"Norandino, batch 161208",1940,2017,70%,U.S.A.,3.5, ,Peru,,,,
French Broad,"Palo Blanco, Chulucanas",1042,2013,66%,U.S.A.,3.5, ,Peru,,,,
French Broad,Tumbes Coop,883,2012,70%,U.S.A.,2.5,Criollo,Peru,,,,
French Broad,"Palo Blanco, Chulucanas",883,2012,61%,U.S.A.,3.5, ,Peru,,,,
French Broad,"Palo Blanco w/ panela, Chulucanas",887,2012,81%,U.S.A.,2, ,Peru,,,,
French Broad,"Maranon Canyon, Fortunato No. 4",781,2011,70%,U.S.A.,3.5,Forastero (Nacional),Peru,,,,
Fresco,"Maranon, #228, MR, SC",1383,2014,70%,U.S.A.,3,Forastero (Nacional),Peru,,,,
Fresco,"Maranon, #227, LR, MC",1383,2014,70%,U.S.A.,3.5,Forastero (Nacional),Peru,,,,
Fresco,"Maranon, #229, MR, LC",1383,2014,70%,U.S.A.,3.5,Forastero (Nacional),Peru,,,,
Fresco,"Maranon, #230, DR, LC",1387,2014,70%,U.S.A.,3.5,Forastero (Nacional),Peru,,,,
Fresco,"San Martin, Bellavista Coop, #226, DR, MC",1117,2013,70%,U.S.A.,3.75, ,Peru,,,,
Fresco,"Bellavista Coop, #225, LR, MC, CG Exclusive",1149,2013,70%,U.S.A.,4,Trinitario,Peru,,,,
Fruition,Maranon,1359,2014,76%,U.S.A.,3,Forastero (Nacional),Peru,,,,
Fruition,Peru,863,2012,70%,U.S.A.,2.5, ,Peru,,,,
Guittard,Machu Pichu,259,2008,65%,U.S.A.,3, ,Peru,,,,
hexx,Peru,1550,2015,70%,U.S.A.,3.25, ,Peru,,,,
Isidro,Peru,1279,2014,72%,U.S.A.,2.25, ,Peru,,,,
Just Good Chocolate,Peru,1375,2014,70%,U.S.A.,4, ,Peru,,,,
Kto,San Martin,1422,2014,72%,U.S.A.,2.5, ,Peru,,,,
K'ul,"Maranon, Fortunato No. 4",1852,2016,70%,U.S.A.,2.75,Forastero (Nacional),Peru,,,,
L.A. Burdick (Felchlin),Peru,891,2012,74%,U.S.A.,3.25, ,Peru,,,,
Letterpress,Maranura,1371,2014,70%,U.S.A.,3.5,Forastero (Nacional),Peru,,,,
Lillie Belle,Perfect Illusion,855,2012,65%,U.S.A.,3.5,Criollo,Peru,,,,
Lillie Belle,La Selva,903,2012,68%,U.S.A.,3.75, ,Peru,,,,
Mana,Peru,1219,2014,74%,U.S.A.,2.5, ,Peru,,,,
Manoa,Piura,1007,2012,72%,U.S.A.,3, ,Peru,,,,
Map Chocolate,"Maranon, 2014",1474,2015,62%,U.S.A.,3.5,Forastero (Nacional),Peru,,,,
Map Chocolate,"Tumbes, Dear Mr. Finley, 2014",1606,2015,68%,U.S.A.,3.5,Criollo,Peru,,,,
Mast Brothers,San Martin,777,2011,75%,U.S.A.,3, ,Peru,,,,
Maverick,Tumbes,1430,2014,82%,U.S.A.,3.25,Criollo,Peru,,,,
Maverick,"Morropon, Norandiono Coop, Piura",1430,2014,63%,U.S.A.,3.5,Criollo,Peru,,,,
Molucca,Peru,1618,2015,70%,U.S.A.,3.25, ,Peru,,,,
Nathan Miller,Peru,1403,2014,72%,U.S.A.,2.25, ,Peru,,,,
Nibble,Tumbes,1526,2015,72%,U.S.A.,3,Criollo,Peru,,,,
Night Owl,Peru,1022,2013,75%,U.S.A.,2.75, ,Peru,,,,
Noble Bean aka Jerjobo,Maranon Canyon,1299,2014,75%,U.S.A.,3.25,Forastero (Nacional),Peru,,,,
Patric,"Piura, Choc. Garage Exclusive",1034,2013,67%,U.S.A.,4, ,Peru,,,,
Pomm (aka Dead Dog),Peru,829,2012,82%,U.S.A.,2.75,Criollo,Peru,,,,
Potomac,"San Martin, Amazonian Highlands",789,2011,70%,U.S.A.,2.75, ,Peru,,,,
Ranger,"San Martin, Batch 2",1558,2015,70%,U.S.A.,2.5, ,Peru,,,,
Ranger,"Chulucanas, Batch 1",1562,2015,80%,U.S.A.,3.25, ,Peru,,,,
Ranger,"Tumbes, Batch 2",1562,2015,73%,U.S.A.,3.5,Criollo,Peru,,,,
Ritual,"Maranon, Cajamarca",1181,2013,75%,U.S.A.,3,Forastero (Nacional),Peru,,,,
Rogue,Piura,565,2010,75%,U.S.A.,3.75, ,Peru,,,,
Scharffen Berger,San Juan de Cheni,959,2012,78%,U.S.A.,4, ,Peru,,,,
Sibu Sura,Peru,911,2012,70%,U.S.A.,2.5, ,Peru,,,,
Solstice,San Martin,1161,2013,70%,U.S.A.,3.25, ,Peru,,,,
Spencer,Peru,1932,2017,70%,U.S.A.,2.75, ,Peru,,,,
Tabal,Peru,1105,2013,70%,U.S.A.,3, ,Peru,,,,
TCHO,Fruity-beta,280,2008,70%,U.S.A.,2.5, ,Peru,,,,
TCHO,Nutty-beta,284,2008,70%,U.S.A.,2.5, ,Peru,,,,
Tejas,Capistrano,821,2012,70%,U.S.A.,2, ,Peru,,,,
Terroir,Peru,1478,2015,70%,U.S.A.,2.75, ,Peru,,,,
Two Ravens,Peru,1740,2016,60%,U.S.A.,3,Criollo,Peru,,,,
Vintage Plantations,San Martin,1205,2014,75%,U.S.A.,3, ,Peru,,,,
Violet Sky,Peru,1458,2015,77%,U.S.A.,3.25,"Criollo, Trinitario",Peru,,,,
Vivra,Peru,1720,2016,70%,U.S.A.,2.5, ,Peru,,,,
Woodblock,"Maranon, Cajamarca",1243,2014,70%,U.S.A.,3,Forastero (Nacional),Peru,,,,
Zak's,"Peru, Batch 1",1578,2015,70%,U.S.A.,3.25, ,Peru,,,,
Raaka,Amazon Basin Blend,1788,2016,70%,U.S.A.,3, ,Peru(SMartin,Pangoa,nacional),,
Mast Brothers,French Laundry 20th Anniversary,1359,2014,75%,U.S.A.,3.75,Blend,Peru, Belize,,,
Soma,Equator,1081,2013,67%,Canada,4, ,Peru, Dom. Rep,,,
TCHO,Peru- Ecuador,915,2012,99%,U.S.A.,3.25, ,Peru, Ecuador,,,
L'Amourette,Blend,853,2012,72%,U.S.A.,3,Criollo,Peru, Ecuador, Venezuela,,
Mast Brothers,Shake Shack,959,2012,73%,U.S.A.,3.5,Blend,Peru, Mad., Dom. Rep.,,
Ethel's Artisan (Mars),"Peru, Madagascar",666,2011,55%,U.S.A.,2.5, ,Peru, Madagascar,,,
Malagos,"Davao, Mt. Talamo foothills",1121,2013,65%,Philippines,3.5,Trinitario,Philippines,,,,
Askinosie,Davao,331,2009,77%,U.S.A.,3.75,Trinitario,Philippines,,,,
StRita Supreme,"Samar, East Visayas region",939,2012,65%,U.S.A.,2.5, ,Philippines,,,,
StRita Supreme,"Samar, East Visayas region",943,2012,70%,U.S.A.,2.5, ,Philippines,,,,
StRita Supreme,"Samar, East Visayas region",943,2012,75%,U.S.A.,2.75, ,Philippines,,,,
Matale,Blend,1181,2013,70%,Australia,3.75,Trinitario,PNG, Vanuatu, Mad,,
Rozsavolgyi,Principe,765,2011,77%,Hungary,2.75,Forastero,Sao Tome & Principe,,,,
Cacao Arabuco,Puerto Rico,1606,2015,70%,Puerto Rico,2.5, ,Puerto Rico,,,,
Loiza,Puerto Rico,1049,2013,65%,Puerto Rico,2.5, ,Puerto Rico,,,,
Finca,Puerto Rico,1283,2014,65%,U.S.A.,2.25, ,Puerto Rico,,,,
Madre,Puerto Rico,1085,2013,70%,U.S.A.,2.75, ,Puerto Rico,,,,
Ocho,Sang Yum Coop,1760,2016,100%,New Zealand,2.75, ,Samoa,,,,
Ocho,Sang Yum Coop,1760,2016,70%,New Zealand,3.5, ,Samoa,,,,
Neuhaus (Callebaut),Sao Tome,15,2006,75%,Belgium,2.75,Forastero,Sao Tome & Principe,,,,
A. Morin,Agua Grande,1876,2016,63%,France,3.75, ,Sao Tome & Principe,,,,
Laia aka Chat-Noir,"Sao Tome, Batch 151",1638,2015,75%,France,3.5,Forastero,Sao Tome & Principe,,,,
Michel Cluizel,Vila Gracinda,135,2007,67%,France,3.5,Forastero,Sao Tome & Principe,,,,
Michel Cluizel,Tamarina,24,2006,70%,France,3,Forastero,Sao Tome & Principe,,,,
Pralus,Claudio Corallo w/ nibs,162,2007,75%,France,4,Forastero,Sao Tome & Principe,,,,
Santome,Sao Tome,761,2011,70%,France,2.75,Forastero,Sao Tome & Principe,,,,
C-Amaro,Sao Tome,749,2011,78%,Italy,2.25,Forastero,Sao Tome & Principe,,,,
Silvio Bessone,"Trintade, Sao Tome",725,2011,65%,Italy,3.25,Forastero,Sao Tome & Principe,,,,
Hotel Chocolat (Coppeneur),Uba Budo,300,2008,72%,U.K.,3,Forastero,Sao Tome & Principe,,,,
Pralus,Sao Tome & Principe,5,2006,75%,France,3.5,Forastero,Sao Tome & Principe,,,,
Coppeneur,Uba Budo,821,2012,72%,Germany,3.75,Forastero,Sao Tome & Principe,,,,
Claudio Corallo,Terreiro Velho P.,470,2010,73.50%,Sao Tome,3.75,Forastero,Sao Tome & Principe,,,,
Claudio Corallo,Terreiro Velho P. w/ sugar crystals,209,2008,80%,Sao Tome,3,Forastero,Sao Tome & Principe,,,,
